areaCode,areaName,areaType,date,newCasesByPublishDate,newDeaths28DaysByPublishDate,newVirusTestsByPublishDate
E12000001,North East,region,06/01/2023,0,0,2578
E12000001,North East,region,05/01/2023,1628,93,3887
E12000001,North East,region,04/01/2023,0,0,2836
E12000001,North East,region,03/01/2023,0,0,2068
E12000001,North East,region,02/01/2023,0,0,1249
E12000001,North East,region,01/01/2023,0,0,2035
E12000001,North East,region,31/12/2022,0,0,4275
E12000001,North East,region,30/12/2022,0,0,3271
E12000001,North East,region,29/12/2022,1402,0,3324
E12000001,North East,region,28/12/2022,0,0,9176
E12000001,North East,region,27/12/2022,0,0,643
E12000001,North East,region,26/12/2022,0,0,662
E12000001,North East,region,25/12/2022,0,0,626
E12000001,North East,region,24/12/2022,0,0,742
E12000001,North East,region,23/12/2022,0,0,1614
E12000001,North East,region,22/12/2022,1528,28,1733
E12000001,North East,region,21/12/2022,0,0,4232
E12000001,North East,region,20/12/2022,0,0,1762
E12000001,North East,region,19/12/2022,0,0,5737
E12000001,North East,region,18/12/2022,0,0,820
E12000001,North East,region,17/12/2022,0,0,1071
E12000001,North East,region,16/12/2022,0,0,1741
E12000001,North East,region,15/12/2022,1195,21,1061
E12000001,North East,region,14/12/2022,0,0,-3627
E12000001,North East,region,13/12/2022,0,0,1372
E12000001,North East,region,12/12/2022,0,0,6553
E12000001,North East,region,11/12/2022,0,0,727
E12000001,North East,region,10/12/2022,0,0,937
E12000001,North East,region,09/12/2022,0,0,1347
E12000001,North East,region,08/12/2022,1131,21,1194
E12000001,North East,region,07/12/2022,0,0,8964
E12000001,North East,region,06/12/2022,0,0,
E12000001,North East,region,05/12/2022,0,0,
E12000001,North East,region,04/12/2022,0,0,807
E12000001,North East,region,03/12/2022,0,0,1138
E12000001,North East,region,02/12/2022,0,0,941
E12000001,North East,region,01/12/2022,953,23,1432
E12000001,North East,region,30/11/2022,0,0,1547
E12000001,North East,region,29/11/2022,0,0,1352
E12000001,North East,region,28/11/2022,0,0,5744
E12000001,North East,region,27/11/2022,0,0,863
E12000001,North East,region,26/11/2022,0,0,749
E12000001,North East,region,25/11/2022,0,0,893
E12000001,North East,region,24/11/2022,828,39,1108
E12000001,North East,region,23/11/2022,0,0,1389
E12000001,North East,region,22/11/2022,0,0,971
E12000001,North East,region,21/11/2022,0,0,4476
E12000001,North East,region,20/11/2022,0,0,647
E12000001,North East,region,19/11/2022,0,0,715
E12000001,North East,region,18/11/2022,0,0,1366
E12000001,North East,region,17/11/2022,940,47,940
E12000001,North East,region,16/11/2022,0,0,1301
E12000001,North East,region,15/11/2022,0,0,1309
E12000001,North East,region,14/11/2022,0,0,7093
E12000001,North East,region,13/11/2022,0,0,845
E12000001,North East,region,12/11/2022,0,0,1036
E12000001,North East,region,11/11/2022,0,0,1364
E12000001,North East,region,10/11/2022,1056,46,1212
E12000001,North East,region,09/11/2022,0,0,4955
E12000001,North East,region,08/11/2022,0,0,1548
E12000001,North East,region,07/11/2022,0,0,1507
E12000001,North East,region,06/11/2022,0,0,935
E12000001,North East,region,05/11/2022,0,0,1277
E12000001,North East,region,04/11/2022,0,0,1897
E12000001,North East,region,03/11/2022,1384,64,1788
E12000001,North East,region,02/11/2022,0,0,1857
E12000001,North East,region,01/11/2022,0,0,1724
E12000001,North East,region,31/10/2022,0,0,5427
E12000001,North East,region,30/10/2022,0,0,1035
E12000001,North East,region,29/10/2022,0,0,1652
E12000001,North East,region,28/10/2022,0,0,1852
E12000001,North East,region,27/10/2022,1937,59,2113
E12000001,North East,region,26/10/2022,0,0,2224
E12000001,North East,region,25/10/2022,0,0,2618
E12000001,North East,region,24/10/2022,0,0,2079
E12000001,North East,region,23/10/2022,0,0,5584
E12000001,North East,region,22/10/2022,0,0,1589
E12000001,North East,region,21/10/2022,0,0,1995
E12000001,North East,region,20/10/2022,2423,58,2667
E12000001,North East,region,19/10/2022,0,0,3518
E12000001,North East,region,18/10/2022,0,0,3313
E12000001,North East,region,17/10/2022,0,0,7527
