areaCode,areaName,areaType,date,newCasesByPublishDate
E12000001,North East,region,03/12/2022,0
E12000001,North East,region,02/12/2022,0
E12000001,North East,region,01/12/2022,953
E12000001,North East,region,30/11/2022,0
E12000001,North East,region,29/11/2022,0
E12000001,North East,region,28/11/2022,0
E12000001,North East,region,27/11/2022,0
E12000001,North East,region,26/11/2022,0
E12000001,North East,region,25/11/2022,0
E12000001,North East,region,24/11/2022,828
E12000001,North East,region,23/11/2022,0
E12000001,North East,region,22/11/2022,0
E12000001,North East,region,21/11/2022,0
E12000001,North East,region,20/11/2022,0
E12000001,North East,region,19/11/2022,0
E12000001,North East,region,18/11/2022,0
E12000001,North East,region,17/11/2022,940
E12000001,North East,region,16/11/2022,0
E12000001,North East,region,15/11/2022,0
E12000001,North East,region,14/11/2022,0
E12000001,North East,region,13/11/2022,0
E12000001,North East,region,12/11/2022,0
E12000001,North East,region,11/11/2022,0
E12000001,North East,region,10/11/2022,1056
E12000001,North East,region,09/11/2022,0
E12000001,North East,region,08/11/2022,0
E12000001,North East,region,07/11/2022,0
E12000001,North East,region,06/11/2022,0
E12000001,North East,region,05/11/2022,0
E12000001,North East,region,04/11/2022,0
E12000001,North East,region,03/11/2022,1384
E12000001,North East,region,02/11/2022,0
E12000001,North East,region,01/11/2022,0
E12000001,North East,region,31/10/2022,0
E12000001,North East,region,30/10/2022,0
E12000001,North East,region,29/10/2022,0
E12000001,North East,region,28/10/2022,0
E12000001,North East,region,27/10/2022,1937
E12000001,North East,region,26/10/2022,0
E12000001,North East,region,25/10/2022,0
E12000001,North East,region,24/10/2022,0
E12000001,North East,region,23/10/2022,0
E12000001,North East,region,22/10/2022,0
E12000001,North East,region,21/10/2022,0
E12000001,North East,region,20/10/2022,2423
E12000001,North East,region,19/10/2022,0
E12000001,North East,region,18/10/2022,0
E12000001,North East,region,17/10/2022,0
E12000001,North East,region,16/10/2022,0
E12000001,North East,region,15/10/2022,0
E12000001,North East,region,14/10/2022,0
E12000001,North East,region,13/10/2022,2849
E12000001,North East,region,12/10/2022,0
E12000001,North East,region,11/10/2022,0
E12000001,North East,region,10/10/2022,0
E12000001,North East,region,09/10/2022,0
E12000001,North East,region,08/10/2022,0
E12000001,North East,region,07/10/2022,0
E12000001,North East,region,06/10/2022,2854
E12000001,North East,region,05/10/2022,0
E12000001,North East,region,04/10/2022,0
E12000001,North East,region,03/10/2022,0
E12000001,North East,region,02/10/2022,0
E12000001,North East,region,01/10/2022,0
E12000001,North East,region,30/09/2022,0
E12000001,North East,region,29/09/2022,2510
E12000001,North East,region,28/09/2022,0
E12000001,North East,region,27/09/2022,0
E12000001,North East,region,26/09/2022,0
E12000001,North East,region,25/09/2022,0
E12000001,North East,region,24/09/2022,0
E12000001,North East,region,23/09/2022,0
E12000001,North East,region,22/09/2022,1871
E12000001,North East,region,21/09/2022,0
E12000001,North East,region,20/09/2022,0
E12000001,North East,region,19/09/2022,0
E12000001,North East,region,18/09/2022,0
E12000001,North East,region,17/09/2022,0
E12000001,North East,region,16/09/2022,0
E12000001,North East,region,15/09/2022,1531
E12000001,North East,region,14/09/2022,0
E12000001,North East,region,13/09/2022,0
E12000001,North East,region,12/09/2022,0
E12000001,North East,region,11/09/2022,0
E12000001,North East,region,10/09/2022,0
E12000001,North East,region,09/09/2022,0
E12000001,North East,region,08/09/2022,1474
E12000001,North East,region,07/09/2022,0
E12000001,North East,region,06/09/2022,0
E12000001,North East,region,05/09/2022,0
E12000001,North East,region,04/09/2022,0
E12000001,North East,region,03/09/2022,0
E12000001,North East,region,02/09/2022,0
E12000001,North East,region,01/09/2022,0
E12000001,North East,region,31/08/2022,1314
E12000001,North East,region,30/08/2022,0
E12000001,North East,region,29/08/2022,0
E12000001,North East,region,28/08/2022,0
E12000001,North East,region,27/08/2022,0
E12000001,North East,region,26/08/2022,0
E12000001,North East,region,25/08/2022,0
E12000001,North East,region,24/08/2022,1324
E12000001,North East,region,23/08/2022,0
E12000001,North East,region,22/08/2022,0
E12000001,North East,region,21/08/2022,0
E12000001,North East,region,20/08/2022,0
E12000001,North East,region,19/08/2022,0
E12000001,North East,region,18/08/2022,0
E12000001,North East,region,17/08/2022,1741
E12000001,North East,region,16/08/2022,0
E12000001,North East,region,15/08/2022,0
E12000001,North East,region,14/08/2022,0
E12000001,North East,region,13/08/2022,0
E12000001,North East,region,12/08/2022,0
E12000001,North East,region,11/08/2022,0
E12000001,North East,region,10/08/2022,2190
E12000001,North East,region,09/08/2022,0
E12000001,North East,region,08/08/2022,0
E12000001,North East,region,07/08/2022,0
E12000001,North East,region,06/08/2022,0
E12000001,North East,region,05/08/2022,0
E12000001,North East,region,04/08/2022,0
E12000001,North East,region,03/08/2022,2760
E12000001,North East,region,02/08/2022,0
E12000001,North East,region,01/08/2022,0
E12000001,North East,region,31/07/2022,0
E12000001,North East,region,30/07/2022,0
E12000001,North East,region,29/07/2022,0
E12000001,North East,region,28/07/2022,0
E12000001,North East,region,27/07/2022,3814
E12000001,North East,region,26/07/2022,0
E12000001,North East,region,25/07/2022,0
E12000001,North East,region,24/07/2022,0
E12000001,North East,region,23/07/2022,0
E12000001,North East,region,22/07/2022,0
E12000001,North East,region,21/07/2022,0
E12000001,North East,region,20/07/2022,5569
E12000001,North East,region,19/07/2022,0
E12000001,North East,region,18/07/2022,0
E12000001,North East,region,17/07/2022,0
E12000001,North East,region,16/07/2022,0
E12000001,North East,region,15/07/2022,0
E12000001,North East,region,14/07/2022,0
E12000001,North East,region,13/07/2022,7079
E12000001,North East,region,12/07/2022,0
E12000001,North East,region,11/07/2022,0
E12000001,North East,region,10/07/2022,0
E12000001,North East,region,09/07/2022,0
E12000001,North East,region,08/07/2022,0
E12000001,North East,region,07/07/2022,0
E12000001,North East,region,06/07/2022,5005
E12000001,North East,region,05/07/2022,0
E12000001,North East,region,04/07/2022,0
E12000001,North East,region,03/07/2022,0
E12000001,North East,region,02/07/2022,0
E12000001,North East,region,01/07/2022,810
E12000001,North East,region,30/06/2022,982
E12000001,North East,region,29/06/2022,973
E12000001,North East,region,28/06/2022,969
E12000001,North East,region,27/06/2022,2395
E12000001,North East,region,26/06/2022,0
E12000001,North East,region,25/06/2022,0
E12000001,North East,region,24/06/2022,794
E12000001,North East,region,23/06/2022,825
E12000001,North East,region,22/06/2022,953
E12000001,North East,region,21/06/2022,865
E12000001,North East,region,20/06/2022,1792
E12000001,North East,region,19/06/2022,0
E12000001,North East,region,18/06/2022,0
E12000001,North East,region,17/06/2022,637
E12000001,North East,region,16/06/2022,619
E12000001,North East,region,15/06/2022,720
E12000001,North East,region,14/06/2022,652
E12000001,North East,region,13/06/2022,1441
E12000001,North East,region,12/06/2022,0
E12000001,North East,region,11/06/2022,0
E12000001,North East,region,10/06/2022,489
E12000001,North East,region,09/06/2022,507
E12000001,North East,region,08/06/2022,472
E12000001,North East,region,07/06/2022,530
E12000001,North East,region,06/06/2022,1375
E12000001,North East,region,05/06/2022,0
E12000001,North East,region,04/06/2022,0
E12000001,North East,region,03/06/2022,0
E12000001,North East,region,02/06/2022,0
E12000001,North East,region,01/06/2022,227
E12000001,North East,region,31/05/2022,279
E12000001,North East,region,30/05/2022,665
E12000001,North East,region,29/05/2022,0
E12000001,North East,region,28/05/2022,0
E12000001,North East,region,27/05/2022,223
E12000001,North East,region,26/05/2022,268
E12000001,North East,region,25/05/2022,293
E12000001,North East,region,24/05/2022,346
E12000001,North East,region,23/05/2022,760
E12000001,North East,region,22/05/2022,0
E12000001,North East,region,21/05/2022,0
E12000001,North East,region,20/05/2022,348
E12000001,North East,region,19/05/2022,320
E12000001,North East,region,18/05/2022,393
E12000001,North East,region,17/05/2022,433
E12000001,North East,region,16/05/2022,923
E12000001,North East,region,15/05/2022,0
E12000001,North East,region,14/05/2022,0
E12000001,North East,region,13/05/2022,369
E12000001,North East,region,12/05/2022,397
E12000001,North East,region,11/05/2022,463
E12000001,North East,region,10/05/2022,510
E12000001,North East,region,09/05/2022,1149
E12000001,North East,region,08/05/2022,0
E12000001,North East,region,07/05/2022,0
E12000001,North East,region,06/05/2022,556
E12000001,North East,region,05/05/2022,610
E12000001,North East,region,04/05/2022,838
E12000001,North East,region,03/05/2022,1680
E12000001,North East,region,02/05/2022,0
E12000001,North East,region,01/05/2022,0
E12000001,North East,region,30/04/2022,0
E12000001,North East,region,29/04/2022,557
E12000001,North East,region,28/04/2022,584
E12000001,North East,region,27/04/2022,1579
E12000001,North East,region,26/04/2022,0
E12000001,North East,region,25/04/2022,2190
E12000001,North East,region,24/04/2022,0
E12000001,North East,region,23/04/2022,0
E12000001,North East,region,22/04/2022,856
E12000001,North East,region,21/04/2022,1045
E12000001,North East,region,20/04/2022,1156
E12000001,North East,region,19/04/2022,5099
E12000001,North East,region,18/04/2022,0
E12000001,North East,region,17/04/2022,0
E12000001,North East,region,16/04/2022,0
E12000001,North East,region,15/04/2022,0
E12000001,North East,region,14/04/2022,1468
E12000001,North East,region,13/04/2022,1521
E12000001,North East,region,12/04/2022,1771
E12000001,North East,region,11/04/2022,3700
E12000001,North East,region,10/04/2022,0
E12000001,North East,region,09/04/2022,0
E12000001,North East,region,08/04/2022,1807
E12000001,North East,region,07/04/2022,2030
E12000001,North East,region,06/04/2022,2297
E12000001,North East,region,05/04/2022,2224
E12000001,North East,region,04/04/2022,5818
E12000001,North East,region,03/04/2022,0
E12000001,North East,region,02/04/2022,0
E12000001,North East,region,01/04/2022,3001
E12000001,North East,region,31/03/2022,3022
E12000001,North East,region,30/03/2022,3852
E12000001,North East,region,29/03/2022,2958
E12000001,North East,region,28/03/2022,8202
E12000001,North East,region,27/03/2022,0
E12000001,North East,region,26/03/2022,0
E12000001,North East,region,25/03/2022,2714
E12000001,North East,region,24/03/2022,3934
E12000001,North East,region,23/03/2022,3767
E12000001,North East,region,22/03/2022,2884
E12000001,North East,region,21/03/2022,6823
E12000001,North East,region,20/03/2022,0
E12000001,North East,region,19/03/2022,0
E12000001,North East,region,18/03/2022,2526
E12000001,North East,region,17/03/2022,2752
E12000001,North East,region,16/03/2022,2827
E12000001,North East,region,15/03/2022,2232
E12000001,North East,region,14/03/2022,5250
E12000001,North East,region,13/03/2022,0
E12000001,North East,region,12/03/2022,0
E12000001,North East,region,11/03/2022,1483
E12000001,North East,region,10/03/2022,1658
E12000001,North East,region,09/03/2022,1610
E12000001,North East,region,08/03/2022,1452
E12000001,North East,region,07/03/2022,2825
E12000001,North East,region,06/03/2022,0
E12000001,North East,region,05/03/2022,0
E12000001,North East,region,04/03/2022,1157
E12000001,North East,region,03/03/2022,1033
E12000001,North East,region,02/03/2022,1162
E12000001,North East,region,01/03/2022,960
E12000001,North East,region,28/02/2022,2092
E12000001,North East,region,27/02/2022,0
E12000001,North East,region,26/02/2022,0
E12000001,North East,region,25/02/2022,801
E12000001,North East,region,24/02/2022,930
E12000001,North East,region,23/02/2022,968
E12000001,North East,region,22/02/2022,915
E12000001,North East,region,21/02/2022,834
