areaCode,areaName,areaType,date,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate
E12000001,North East,region,13/01/2023,115,6,15,23
E12000001,North East,region,12/01/2023,132,9,10,19
E12000001,North East,region,11/01/2023,161,10,14,20
E12000001,North East,region,10/01/2023,170,9,20,21
E12000001,North East,region,09/01/2023,168,11,4,4
E12000001,North East,region,08/01/2023,126,8,4,11
E12000001,North East,region,07/01/2023,142,8,5,7
E12000001,North East,region,06/01/2023,210,5,13,33
E12000001,North East,region,05/01/2023,214,12,15,12
E12000001,North East,region,04/01/2023,225,8,5,19
E12000001,North East,region,03/01/2023,304,6,25,19
E12000001,North East,region,02/01/2023,186,8,1,3
E12000001,North East,region,01/01/2023,124,11,0,1
E12000001,North East,region,31/12/2022,162,12,6,4
E12000001,North East,region,30/12/2022,249,10,14,17
E12000001,North East,region,29/12/2022,354,9,29,39
E12000001,North East,region,28/12/2022,320,8,24,29
E12000001,North East,region,27/12/2022,237,14,0,2
E12000001,North East,region,26/12/2022,164,3,0,1
E12000001,North East,region,25/12/2022,129,7,0,1
E12000001,North East,region,24/12/2022,145,4,0,0
E12000001,North East,region,23/12/2022,165,10,16,29
E12000001,North East,region,22/12/2022,219,6,18,17
E12000001,North East,region,21/12/2022,275,3,24,19
E12000001,North East,region,20/12/2022,311,4,8,9
E12000001,North East,region,19/12/2022,266,4,14,13
E12000001,North East,region,18/12/2022,175,4,7,7
E12000001,North East,region,17/12/2022,140,5,29,29
E12000001,North East,region,16/12/2022,207,4,15,14
E12000001,North East,region,15/12/2022,217,3,17,16
E12000001,North East,region,14/12/2022,240,4,37,32
E12000001,North East,region,13/12/2022,213,3,16,20
E12000001,North East,region,12/12/2022,213,5,17,10
E12000001,North East,region,11/12/2022,175,3,11,43
E12000001,North East,region,10/12/2022,125,3,16,29
E12000001,North East,region,09/12/2022,144,10,39,38
E12000001,North East,region,08/12/2022,161,2,15,11
E12000001,North East,region,07/12/2022,176,2,18,9
E12000001,North East,region,06/12/2022,186,3,19,31
E12000001,North East,region,05/12/2022,232,3,13,17
E12000001,North East,region,04/12/2022,147,1,12,1
E12000001,North East,region,03/12/2022,92,1,26,33
E12000001,North East,region,02/12/2022,133,4,14,12
E12000001,North East,region,01/12/2022,157,2,17,19
E12000001,North East,region,30/11/2022,177,1,13,18
E12000001,North East,region,29/11/2022,160,1,23,10
E12000001,North East,region,28/11/2022,177,3,15,28
E12000001,North East,region,27/11/2022,140,5,39,34
E12000001,North East,region,26/11/2022,79,4,57,99
E12000001,North East,region,25/11/2022,101,1,32,51
E12000001,North East,region,24/11/2022,138,2,31,33
E12000001,North East,region,23/11/2022,121,4,17,17
E12000001,North East,region,22/11/2022,151,5,17,15
E12000001,North East,region,21/11/2022,132,5,19,29
E12000001,North East,region,20/11/2022,92,5,33,30
E12000001,North East,region,19/11/2022,102,6,40,73
E12000001,North East,region,18/11/2022,105,3,18,12
E12000001,North East,region,17/11/2022,137,3,30,26
E12000001,North East,region,16/11/2022,122,3,27,28
E12000001,North East,region,15/11/2022,118,6,32,39
E12000001,North East,region,14/11/2022,157,11,17,18
E12000001,North East,region,13/11/2022,134,4,21,40
E12000001,North East,region,12/11/2022,95,5,67,87
E12000001,North East,region,11/11/2022,118,12,25,23
E12000001,North East,region,10/11/2022,129,2,26,26
E12000001,North East,region,09/11/2022,181,6,37,20
E12000001,North East,region,08/11/2022,149,7,26,21
E12000001,North East,region,07/11/2022,177,8,25,16
E12000001,North East,region,06/11/2022,144,7,20,16
