areaCode,areaName,areaType,date,newPeopleVaccinatedThirdInjectionByVaccinationDate
E12000001,North East,region,02/12/2022,72
E12000001,North East,region,01/12/2022,93
E12000001,North East,region,30/11/2022,140
E12000001,North East,region,29/11/2022,116
E12000001,North East,region,28/11/2022,117
E12000001,North East,region,27/11/2022,81
E12000001,North East,region,26/11/2022,154
E12000001,North East,region,25/11/2022,136
E12000001,North East,region,24/11/2022,140
E12000001,North East,region,23/11/2022,158
E12000001,North East,region,22/11/2022,158
E12000001,North East,region,21/11/2022,97
E12000001,North East,region,20/11/2022,111
E12000001,North East,region,19/11/2022,163
E12000001,North East,region,18/11/2022,163
E12000001,North East,region,17/11/2022,175
E12000001,North East,region,16/11/2022,174
E12000001,North East,region,15/11/2022,168
E12000001,North East,region,14/11/2022,122
E12000001,North East,region,13/11/2022,141
E12000001,North East,region,12/11/2022,272
E12000001,North East,region,11/11/2022,201
E12000001,North East,region,10/11/2022,203
E12000001,North East,region,09/11/2022,178
E12000001,North East,region,08/11/2022,164
E12000001,North East,region,07/11/2022,143
E12000001,North East,region,06/11/2022,192
E12000001,North East,region,05/11/2022,317
E12000001,North East,region,04/11/2022,186
E12000001,North East,region,03/11/2022,226
E12000001,North East,region,02/11/2022,188
E12000001,North East,region,01/11/2022,190
E12000001,North East,region,31/10/2022,150
E12000001,North East,region,30/10/2022,129
E12000001,North East,region,29/10/2022,248
E12000001,North East,region,28/10/2022,207
E12000001,North East,region,27/10/2022,208
E12000001,North East,region,26/10/2022,213
E12000001,North East,region,25/10/2022,184
E12000001,North East,region,24/10/2022,148
E12000001,North East,region,23/10/2022,163
E12000001,North East,region,22/10/2022,284
E12000001,North East,region,21/10/2022,215
E12000001,North East,region,20/10/2022,249
E12000001,North East,region,19/10/2022,256
E12000001,North East,region,18/10/2022,266
E12000001,North East,region,17/10/2022,204
E12000001,North East,region,16/10/2022,157
E12000001,North East,region,15/10/2022,272
E12000001,North East,region,14/10/2022,199
E12000001,North East,region,13/10/2022,250
E12000001,North East,region,12/10/2022,259
E12000001,North East,region,11/10/2022,209
E12000001,North East,region,10/10/2022,181
E12000001,North East,region,09/10/2022,149
E12000001,North East,region,08/10/2022,257
E12000001,North East,region,07/10/2022,222
E12000001,North East,region,06/10/2022,211
E12000001,North East,region,05/10/2022,180
E12000001,North East,region,04/10/2022,182
E12000001,North East,region,03/10/2022,139
E12000001,North East,region,02/10/2022,116
E12000001,North East,region,01/10/2022,239
E12000001,North East,region,30/09/2022,186
E12000001,North East,region,29/09/2022,203
E12000001,North East,region,28/09/2022,185
E12000001,North East,region,27/09/2022,167
E12000001,North East,region,26/09/2022,129
E12000001,North East,region,25/09/2022,166
E12000001,North East,region,24/09/2022,198
E12000001,North East,region,23/09/2022,136
E12000001,North East,region,22/09/2022,164
E12000001,North East,region,21/09/2022,147
E12000001,North East,region,20/09/2022,151
E12000001,North East,region,19/09/2022,52
E12000001,North East,region,18/09/2022,177
E12000001,North East,region,17/09/2022,250
E12000001,North East,region,16/09/2022,120
E12000001,North East,region,15/09/2022,198
E12000001,North East,region,14/09/2022,186
E12000001,North East,region,13/09/2022,198
E12000001,North East,region,12/09/2022,240
E12000001,North East,region,11/09/2022,65
E12000001,North East,region,10/09/2022,68
E12000001,North East,region,09/09/2022,80
E12000001,North East,region,08/09/2022,134
E12000001,North East,region,07/09/2022,112
E12000001,North East,region,06/09/2022,116
E12000001,North East,region,05/09/2022,161
E12000001,North East,region,04/09/2022,83
E12000001,North East,region,03/09/2022,143
E12000001,North East,region,02/09/2022,184
E12000001,North East,region,01/09/2022,139
E12000001,North East,region,31/08/2022,249
E12000001,North East,region,30/08/2022,182
E12000001,North East,region,29/08/2022,56
E12000001,North East,region,28/08/2022,125
E12000001,North East,region,27/08/2022,159
E12000001,North East,region,26/08/2022,132
E12000001,North East,region,25/08/2022,203
E12000001,North East,region,24/08/2022,182
E12000001,North East,region,23/08/2022,274
E12000001,North East,region,22/08/2022,137
E12000001,North East,region,21/08/2022,157
E12000001,North East,region,20/08/2022,249
E12000001,North East,region,19/08/2022,152
E12000001,North East,region,18/08/2022,180
E12000001,North East,region,17/08/2022,235
E12000001,North East,region,16/08/2022,211
E12000001,North East,region,15/08/2022,185
E12000001,North East,region,14/08/2022,299
E12000001,North East,region,13/08/2022,258
E12000001,North East,region,12/08/2022,152
E12000001,North East,region,11/08/2022,275
E12000001,North East,region,10/08/2022,295
E12000001,North East,region,09/08/2022,256
E12000001,North East,region,08/08/2022,159
E12000001,North East,region,07/08/2022,179
E12000001,North East,region,06/08/2022,260
E12000001,North East,region,05/08/2022,204
E12000001,North East,region,04/08/2022,299
E12000001,North East,region,03/08/2022,216
E12000001,North East,region,02/08/2022,257
E12000001,North East,region,01/08/2022,219
E12000001,North East,region,31/07/2022,346
E12000001,North East,region,30/07/2022,275
E12000001,North East,region,29/07/2022,177
E12000001,North East,region,28/07/2022,343
E12000001,North East,region,27/07/2022,303
E12000001,North East,region,26/07/2022,310
E12000001,North East,region,25/07/2022,262
E12000001,North East,region,24/07/2022,266
E12000001,North East,region,23/07/2022,381
E12000001,North East,region,22/07/2022,237
E12000001,North East,region,21/07/2022,320
E12000001,North East,region,20/07/2022,282
E12000001,North East,region,19/07/2022,322
E12000001,North East,region,18/07/2022,217
E12000001,North East,region,17/07/2022,325
E12000001,North East,region,16/07/2022,279
E12000001,North East,region,15/07/2022,246
E12000001,North East,region,14/07/2022,330
E12000001,North East,region,13/07/2022,330
E12000001,North East,region,12/07/2022,348
E12000001,North East,region,11/07/2022,238
E12000001,North East,region,10/07/2022,254
E12000001,North East,region,09/07/2022,273
E12000001,North East,region,08/07/2022,246
E12000001,North East,region,07/07/2022,261
E12000001,North East,region,06/07/2022,438
E12000001,North East,region,05/07/2022,280
E12000001,North East,region,04/07/2022,296
E12000001,North East,region,03/07/2022,262
E12000001,North East,region,02/07/2022,326
E12000001,North East,region,01/07/2022,341
E12000001,North East,region,30/06/2022,233
E12000001,North East,region,29/06/2022,391
E12000001,North East,region,28/06/2022,302
E12000001,North East,region,27/06/2022,287
E12000001,North East,region,26/06/2022,434
E12000001,North East,region,25/06/2022,432
E12000001,North East,region,24/06/2022,303
E12000001,North East,region,23/06/2022,263
E12000001,North East,region,22/06/2022,431
E12000001,North East,region,21/06/2022,352
E12000001,North East,region,20/06/2022,234
E12000001,North East,region,19/06/2022,182
E12000001,North East,region,18/06/2022,454
E12000001,North East,region,17/06/2022,330
E12000001,North East,region,16/06/2022,369
E12000001,North East,region,15/06/2022,437
E12000001,North East,region,14/06/2022,367
E12000001,North East,region,13/06/2022,287
E12000001,North East,region,12/06/2022,315
E12000001,North East,region,11/06/2022,483
